Recom1,Recom2,Recom3,Title,imdb_id
tt3467914,tt3450958,tt2569088,The Big Sick,tt5462602
tt4633690,tt3467914,tt5886510,The Beguiled,tt5592248
tt6322922,tt5226512,tt5013056,Tubelight,tt5882970
tt4633690,tt3467914,tt3906082,Edith Walks,tt6612512
tt4765284,tt1724970,tt5013056,Transformers: The Last Knight,tt3371366
tt5962210,tt6794380,tt1458169,Ava,tt6194530
tt4481514,tt4877122,tt3564472,Rory Scovel Tries Stand-Up for the First Time,tt7044010
tt3722614,tt7158814,tt5613402,You Get Me,tt5539054
tt2239822,tt2569088,tt7078780,The Book of Henry,tt4572792
tt7078926,tt5690142,tt5322012,Lou,tt6267732
tt1648190,tt5613402,tt5690244,47 Meters Down,tt2932536
tt6265828,tt6333056,tt3371366,Despicable Me 3,tt3469046
tt4998772,tt5737862,tt5117876,Cars 3,tt3606752
tt0974015,tt6265828,tt6193424,Manifesto,tt4511200
tt6288250,tt5962210,tt2378507,Rough Night,tt4799050
tt6574146,tt4290974,tt6673840,Rakka,tt6990734
tt0339736,tt4411596,tt6574146,The Evil Within,tt0339736
tt0339736,tt4717402,tt6536944,Mutafukaz,tt4717402
tt5610626,tt0339736,tt4717402,Dragonheart: Battle for the Heartfire,tt5610626
tt5610626,tt4717402,tt0339736,"Oh, Hello: On Broadway",tt6987652
tt1666185,tt0339736,tt6987652,All Eyez on Me,tt1666185
tt4717402,tt5610626,tt6840134,The Putin Interviews,tt6840134
tt6987652,tt6840134,tt1666185,Hell on Earth: The Fall of Syria and the Rise of ISIS,tt6794398
tt1386691,tt4717402,tt5610626,Shimmer Lake,tt1386691
tt4717402,tt6987652,tt4066836,Miles,tt4066836
tt0339736,tt6840134,tt1666185,11:55,tt4250438
tt5610626,tt1386691,tt6794398,I Love You Both,tt4590092
tt4066836,tt4590092,tt1386691,It Comes at Night,tt4695012
tt5610626,tt4695012,tt4590092,Middle Man,tt4835894
tt5610626,tt0339736,tt4695012,Megan Leavey,tt4899370
tt4590092,tt6840134,tt0339736,The Hero,tt5655222
tt4250438,tt5929750,tt0339736,Beatriz at Dinner,tt5929750
tt6840134,tt4899370,tt4250438,Queerama,tt6980792
tt0339736,tt5610626,tt6987652,The Hunter's Prayer,tt2674358
tt6980792,tt4835894,tt0339736,My Cousin Rachel,tt4411596
tt5610626,tt1386691,tt5655222,Once Upon a Time in Venice,tt4694544
tt4411596,tt5655222,tt6794398,The Mummy,tt2345759
tt1386691,tt4899370,tt1666185,Site Unseen: An Emma Fielding Mystery,tt6973942
tt6973942,tt2345759,tt4695012,Dumb: The Story of Big Brother Magazine,tt6794450
tt0339736,tt6794398,tt1386691,All About the Money,tt2312184
tt4590092,tt1386691,tt4835894,Aaron's Blood,tt3898776
tt5929750,tt4899370,tt4835894,Dean,tt3914332
tt2674358,tt4411596,tt4590092,The Exception,tt4721124
tt4835894,tt6794398,tt1386691,Stasis,tt5702566
tt4899370,tt5610626,tt4717402,Band Aid,tt5816374
tt6987652,tt5655222,tt3898776,Captain Underpants: The First Epic Movie,tt2091256
tt5610626,tt4721124,tt6987652,Kill Switch,tt5464234
tt4899370,tt4695012,tt6987652,Amor.com,tt5635808
tt4250438,tt4694544,tt6794398,Loveless,tt6304162
tt6980792,tt4694544,tt6794450,In a Heartbeat,tt6969946
tt6794398,tt0339736,tt5929750,Wonder Woman,tt0451279
tt4411596,tt5464234,tt4721124,School's out,tt3291632
tt4250438,tt5610626,tt5464234,Cream,tt6932742
tt6973942,tt4721124,tt3914332,Sarah Silverman: A Speck of Dust,tt6948354
tt6840134,tt4695012,tt5929750,Resident Evil: Vendetta,tt5776208
tt6969946,tt6304162,tt5929750,God of War,tt6083388
tt6083388,tt6794450,tt2312184,Black Butterfly,tt2090465
tt2674358,tt5464234,tt4695012,War Machine,tt4758646
tt6969946,tt4721124,tt5702566,Kiki,tt5278598
tt6794398,tt6083388,tt4066836,Drone,tt5352846
tt5464234,tt6840134,tt2312184,The Double Lover,tt6367558
tt6987652,tt6932742,tt3291632,Churchill,tt2674454
tt4695012,tt6969946,tt0451279,Berlin Syndrome,tt3335606
tt4250438,tt4721124,tt6794398,McLaren,tt5031332
tt6083388,tt3914332,tt5031332,Dirty Dancing,tt5262792
tt6980792,tt3898776,tt3914332,Pirates of the Caribbean: Dead Men Tell No Tales,tt1790809
tt2090465,tt5655222,tt3335606,Mamaboy,tt4818168
tt2090465,tt6969946,tt0451279,Hasan Minhaj: Homecoming King,tt6900644
tt6794450,tt4721124,tt1666185,The Wizard of Lies,tt1933667
tt6973942,tt2312184,tt5031332,The Meyerowitz Stories,tt5536736
tt6932742,tt4721124,tt5702566,Blame!,tt6574146
tt6304162,tt6987652,tt5635808,Okja,tt3967856
tt5929750,tt2091256,tt5464234,AWOL,tt4462372
tt4899370,tt4717402,tt6980792,"Everything, Everything",tt5001718
tt5816374,tt4758646,tt2674358,Abacus: Small Enough to Jail,tt5952382
tt5655222,tt5352846,tt4590092,Diary of a Wimpy Kid: The Long Haul,tt6003368
tt6900644,tt5352846,tt6367558,The Keepers,tt6792200
tt5635808,tt6980792,tt2674454,A Family Man,tt1718924
tt5776208,tt1718924,tt4695012,Alcoholist,tt3061222
tt5776208,tt5352846,tt4066836,National Bird,tt5525310
tt6969946,tt4411596,tt4250438,Afterlov,tt5820148
tt6304162,tt2674454,tt2674358,Ismael's Ghosts,tt5687040
tt6367558,tt2091256,tt6794450,Ivanka Trump- America's Real First Lady?,tt6877238
tt5001718,tt2091256,tt5816374,Survival Family,tt5890000
tt0451279,tt3898776,tt6367558,Baywatch,tt1469304
tt6973942,tt5464234,tt5635808,Jawbone,tt3582020
tt5262792,tt1386691,tt0339736,Dead Awake,tt3778010
tt2674454,tt4590092,tt1469304,The Wall,tt4218696
tt2674454,tt2312184,tt4462372,Shepherds and Butchers,tt4627352
tt5702566,tt6794398,tt4758646,Bon Cop Bad Cop 2,tt4738174
tt5702566,tt4721124,tt3061222,The Levelling,tt5158522
tt4899370,tt5610626,tt1469304,Tracktown,tt5750534
tt5991206,tt6794450,tt2312184,The Wedding Plan,tt5991206
tt6980792,tt4627352,tt4218696,Generation Iron 2,tt6263642
tt6987652,tt5952382,tt5001718,A Stork's Journey,tt3823116
tt6574146,tt5536736,tt5655222,Return to Montauk,tt5247776
tt2674454,tt0339736,tt6792200,The Bolshoi,tt6278008
tt5816374,tt5536736,tt5635808,King Charles III,tt6253522
tt5635808,tt4721124,tt5890000,Alien: Covenant,tt2316204
tt6367558,tt3898776,tt6253522,Boone: The Bounty Hunter,tt3229488
tt5158522,tt4694544,tt4411596,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",tt6878486
tt1790809,tt6278008,tt3335606,Kill 'em All,tt5767628
tt2090465,tt6263642,tt6840134,Batman & Bill,tt6067832
tt4818168,tt2674454,tt3335606,Chris Gethard: Career Suicide,tt6794460
tt1790809,tt1469304,tt5929750,Chuck,tt1610525
tt5610626,tt0339736,tt6969946,The Dinner,tt3203620
tt6900644,tt5536736,tt1933667,Another Evil,tt4185566
tt5750534,tt5158522,tt4738174,Mindhorn,tt4799064
tt3061222,tt5687040,tt2316204,Risk,tt4964772
tt5952382,tt5610626,tt6969946,The Lovers,tt5770620
tt5247776,tt4799064,tt4411596,Handsome: A Netflix Mystery Movie,tt5809020
tt4185566,tt5929750,tt6574146,Take Me,tt6598626
tt5525310,tt5890000,tt6877238,Snatched,tt2334871
tt6877238,tt4590092,tt4738174,The Shadow Effect,tt5044656
tt5610626,tt5820148,tt5525310,Maria Bamford: Old Baby,tt6264596
tt4721124,tt5702566,tt6878486,Taking Earth,tt4290974
tt4964772,tt4627352,tt6792200,Warning: This Drug May Kill You,tt6710212
tt3778010,tt3291632,tt4694544,The Truth Is in the Stars,tt7104950
tt6973942,tt5352846,tt0339736,Lowriders,tt1366338
tt6304162,tt3291632,tt3582020,Voice from the Stone,tt1544608
